epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,273.876,4.01935,4.44133,3.52525,0.02685,0.06955,0.02309,0.0084,2.97098,2.95999,2.30311,0.00333127,0.00333127,0.00333127
2,520.208,2.65211,2.85779,2.02097,0.05049,0.14527,0.0641,0.02936,2.34081,2.43271,1.74927,0.00664261,0.00664261,0.00664261
3,763.943,2.31722,2.51197,1.72701,0.19132,0.12485,0.08194,0.04044,2.10441,2.14155,1.59322,0.00993195,0.00993195,0.00993195
4,1009.13,2.14683,2.32462,1.6044,0.22737,0.13259,0.09734,0.05009,2.00113,1.96148,1.49701,0.009901,0.009901,0.009901
5,1250.04,2.03737,2.15139,1.52788,0.18891,0.16837,0.1207,0.06298,1.89791,1.85098,1.43587,0.009868,0.009868,0.009868
6,1497.6,1.97325,2.03227,1.47517,0.19422,0.18448,0.13864,0.07409,1.83068,1.71838,1.40269,0.009835,0.009835,0.009835
7,1738.75,1.91293,1.94342,1.44395,0.21811,0.20513,0.15628,0.08431,1.77296,1.63996,1.37272,0.009802,0.009802,0.009802
8,1979.24,1.87625,1.86198,1.41828,0.22048,0.20928,0.16797,0.09115,1.74002,1.60565,1.35904,0.009769,0.009769,0.009769
9,2219.3,1.83894,1.81025,1.3971,0.23691,0.2014,0.17156,0.09448,1.72215,1.58582,1.33601,0.009736,0.009736,0.009736
10,2469.2,1.81128,1.7422,1.37877,0.25056,0.22249,0.18568,0.1047,1.68104,1.55631,1.32156,0.009703,0.009703,0.009703
11,2719.96,1.79293,1.70544,1.36221,0.27447,0.22849,0.19988,0.11223,1.66077,1.50671,1.30789,0.00967,0.00967,0.00967
12,2959.67,1.76271,1.66521,1.35468,0.27161,0.23653,0.20464,0.11222,1.64297,1.45215,1.30204,0.009637,0.009637,0.009637
13,3209.87,1.7506,1.63508,1.33821,0.27674,0.24241,0.20976,0.11782,1.64151,1.44771,1.29024,0.009604,0.009604,0.009604
14,3450.84,1.73622,1.60678,1.33234,0.29637,0.23962,0.21856,0.12263,1.61493,1.42348,1.28004,0.009571,0.009571,0.009571
15,3694.57,1.71872,1.57343,1.32032,0.3086,0.24583,0.22617,0.12693,1.60177,1.39195,1.27114,0.009538,0.009538,0.009538
16,3939.76,1.7084,1.5583,1.31655,0.31633,0.258,0.23997,0.13351,1.58436,1.36619,1.26483,0.009505,0.009505,0.009505
17,4185.23,1.69234,1.53419,1.30797,0.32495,0.25941,0.24184,0.13636,1.5768,1.34801,1.25748,0.009472,0.009472,0.009472
18,4425.58,1.68449,1.51313,1.29947,0.34004,0.26167,0.24998,0.14075,1.56299,1.33587,1.25254,0.009439,0.009439,0.009439
19,4672.47,1.66993,1.49607,1.29925,0.34672,0.26553,0.2475,0.13982,1.55074,1.32292,1.24257,0.009406,0.009406,0.009406
